"Date","Price","Open","High","Low","Change %"
"05/12/2023","3.206","3.206","3.206","3.206","0.36%"
"05/11/2023","3.194","3.194","3.194","3.194","0.36%"
"05/10/2023","3.183","3.213","3.213","3.183","-0.56%"
"05/09/2023","3.201","3.201","3.201","3.201","-0.56%"
"05/08/2023","3.219","3.219","3.219","3.219","0.16%"
"05/05/2023","3.214","3.214","3.214","3.214","-0.54%"
"05/04/2023","3.231","3.231","3.231","3.231","0.36%"
"05/03/2023","3.220","3.220","3.220","3.220","0.36%"
"05/02/2023","3.208","3.098","3.208","3.098","3.57%"
"05/01/2023","3.098","3.098","3.098","3.098","-0.72%"
"04/28/2023","3.121","3.121","3.121","3.121","0.56%"
"04/27/2023","3.103","3.103","3.103","3.103","-0.16%"
"04/26/2023","3.108","3.108","3.108","3.108","0.55%"
"04/25/2023","3.091","3.091","3.091","3.091","0.54%"
"04/24/2023","3.075","3.075","3.075","3.075","0.00%"
"04/21/2023","3.075","3.075","3.075","3.075","-0.71%"
"04/20/2023","3.096","3.096","3.096","3.096","0.54%"
"04/19/2023","3.080","3.080","3.080","3.080","-0.84%"
"04/18/2023","3.106","3.106","3.106","3.106","0.50%"
"04/17/2023","3.091","3.172","3.172","3.091","-2.34%"
"04/14/2023","3.164","3.164","3.164","3.164","-0.77%"
"04/13/2023","3.189","3.149","3.189","3.149","1.74%"
"04/12/2023","3.135","3.135","3.135","3.135","-96.85%"
"04/11/2023","99.610","3.119","3.119","3.119","3,031.41%"
"04/10/2023","3.181","3.134","3.181","3.134","2.40%"
"04/07/2023","3.106","3.159","3.159","3.106","-0.27%"
"04/06/2023","3.115","3.115","3.115","3.115","1.35%"
"04/05/2023","3.073","3.073","3.073","3.073","-0.28%"
"04/04/2023","3.082","3.082","3.082","3.082","-0.26%"
"04/03/2023","3.090","3.090","3.090","3.090","-0.79%"
"03/31/2023","3.115","3.115","3.115","3.115","-0.26%"
"03/30/2023","3.122","3.122","3.122","3.122","1.25%"
"03/29/2023","3.084","3.084","3.084","3.084","-0.24%"
"03/28/2023","3.092","3.092","3.092","3.092","-0.26%"
"03/27/2023","3.099","3.099","3.099","3.099","0.70%"
"03/24/2023","3.078","3.122","3.122","3.078","-0.26%"
"03/23/2023","3.086","3.086","3.086","3.086","-0.23%"
"03/22/2023","3.093","3.093","3.093","3.093","1.14%"
"03/21/2023","3.058","3.142","3.142","3.058","-2.89%"
"03/20/2023","3.149","3.149","3.149","3.149","0.05%"
"03/17/2023","3.148","3.148","3.148","3.148","1.08%"
"03/16/2023","3.114","3.114","3.114","3.114","-0.22%"
"03/15/2023","3.121","3.121","3.121","3.121","-0.21%"
"03/14/2023","3.128","3.128","3.128","3.128","1.05%"
"03/13/2023","3.095","3.095","3.095","3.095","-0.63%"
"03/10/2023","3.115","3.115","3.115","3.115","-0.19%"
"03/09/2023","3.121","3.121","3.121","3.121","-0.19%"
"03/08/2023","3.126","3.126","3.126","3.126","-0.19%"
"03/07/2023","3.132","3.132","3.132","3.132","0.97%"
"03/06/2023","3.102","3.102","3.102","3.102","-0.56%"
"03/03/2023","3.120","3.120","3.120","3.120","-0.19%"
"03/02/2023","3.126","3.126","3.126","3.126","-0.19%"
"03/01/2023","3.132","3.132","3.132","3.132","0.93%"
"02/28/2023","3.103","3.103","3.103","3.103","-0.19%"
"02/27/2023","3.109","3.109","3.109","3.109","-0.53%"
"02/24/2023","3.125","3.158","3.158","3.125","-1.22%"
"02/23/2023","3.164","3.164","3.164","3.164","-0.16%"
"02/22/2023","3.169","3.169","3.169","3.169","-0.14%"
"02/21/2023","3.174","3.174","3.174","3.174","-0.17%"
"02/20/2023","3.179","3.179","3.179","3.179","0.55%"
"02/17/2023","3.161","3.161","3.161","3.161","-0.16%"
"02/16/2023","3.167","3.167","3.167","3.167","-0.14%"
"02/15/2023","3.171","3.143","3.171","3.143","0.08%"
"02/14/2023","3.168","3.168","3.168","3.168","0.52%"
"02/13/2023","3.152","3.152","3.152","3.152","0.85%"
"02/10/2023","3.125","3.125","3.125","3.125","-0.76%"
"02/09/2023","3.149","3.149","3.149","3.149","0.48%"
"02/08/2023","3.135","3.135","3.135","3.135","-0.74%"
"02/07/2023","3.158","3.158","3.158","3.158","0.48%"
"02/06/2023","3.143","3.143","3.143","3.143","0.21%"
"02/03/2023","3.136","3.136","3.136","3.136","-0.71%"
"02/02/2023","3.159","3.159","3.159","3.159","0.46%"
"02/01/2023","3.145","3.145","3.145","3.145","0.43%"
"01/31/2023","3.131","3.131","3.131","3.131","-0.68%"
"01/30/2023","3.152","3.152","3.152","3.152","0.19%"
"01/27/2023","3.147","3.147","3.147","3.147","0.41%"
"01/26/2023","3.134","3.013","3.134","3.013","2.22%"
"01/25/2023","3.066","3.066","3.066","3.066","0.59%"
"01/24/2023","3.047","3.047","3.047","3.047","1.72%"
