"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/08/2021","12.526,04","12.566,88","12.569,58","12.515,12","","-0,32%"
"11/08/2021","12.566,88","12.497,30","12.566,88","12.477,87","","0,56%"
"09/08/2021","12.497,30","12.498,05","12.498,05","12.433,06","","-0,25%"
"06/08/2021","12.528,57","12.467,81","12.529,53","12.452,73","","0,49%"
"05/08/2021","12.467,81","12.425,97","12.467,81","12.403,07","","0,34%"
"04/08/2021","12.425,97","12.440,33","12.464,81","12.418,35","","-0,16%"
"03/08/2021","12.446,11","12.433,94","12.452,04","12.410,14","","0,10%"
"02/08/2021","12.433,94","12.304,15","12.434,83","12.304,15","","1,05%"
"29/07/2021","12.304,15","12.236,92","12.304,34","12.236,92","","0,55%"
"28/07/2021","12.236,92","12.207,51","12.245,16","12.171,60","","0,24%"
"27/07/2021","12.207,51","12.183,41","12.209,75","12.170,37","","0,20%"
"26/07/2021","12.183,41","12.201,71","12.212,39","12.153,98","","-0,28%"
"23/07/2021","12.217,21","12.147,28","12.217,21","12.147,28","","0,58%"
"20/07/2021","12.147,28","12.155,36","12.172,80","12.138,42","","-0,07%"
"19/07/2021","12.155,36","12.166,09","12.200,10","12.151,41","","-0,09%"
"16/07/2021","12.166,09","12.140,14","12.183,45","12.137,49","","0,21%"
"15/07/2021","12.140,26","12.143,02","12.183,57","12.140,00","","-0,24%"
"14/07/2021","12.169,45","12.209,84","12.230,93","12.156,37","","-0,34%"
"13/07/2021","12.210,65","12.229,80","12.237,88","12.165,96","","-0,17%"
"12/07/2021","12.231,38","12.230,30","12.232,53","12.191,28","","-0,03%"
"09/07/2021","12.234,85","12.266,06","12.274,87","12.205,02","","-0,25%"
"08/07/2021","12.266,06","12.242,47","12.275,35","12.242,47","","0,19%"
"07/07/2021","12.242,47","12.152,22","12.269,73","12.152,22","","0,49%"
"06/07/2021","12.182,20","12.248,73","12.277,58","12.182,20","","-0,81%"
"05/07/2021","12.281,24","12.373,57","12.373,57","12.273,30","","-1,16%"
"02/07/2021","12.426,00","12.418,77","12.433,27","12.367,22","","0,06%"
"01/07/2021","12.418,77","12.408,76","12.446,31","12.384,89","","0,08%"
"30/06/2021","12.409,24","12.412,04","12.422,42","12.386,59","","-0,02%"
"29/06/2021","12.412,04","12.468,57","12.468,57","12.383,17","","-0,46%"
"28/06/2021","12.469,13","12.417,60","12.469,13","12.410,17","","0,41%"
"25/06/2021","12.417,60","12.476,51","12.489,33","12.378,02","","-0,47%"
"24/06/2021","12.476,51","12.512,27","12.577,93","12.476,51","","-0,30%"
"23/06/2021","12.514,51","12.514,12","12.532,39","12.498,20","","-0,03%"
"22/06/2021","12.517,72","12.544,46","12.553,70","12.505,29","","-0,22%"
"21/06/2021","12.545,91","12.479,58","12.545,91","12.471,55","","0,47%"
"18/06/2021","12.487,66","12.440,38","12.488,43","12.412,98","","0,37%"
